steps,Achem0,Achem1,Achem2,Achem3,Achem4,Achem5,Achem6,Achem7,AreactRate,Bchem0,Bchem1,Bchem2,Bchem3,Bchem4,Bchem5,Bchem6,Bchem7,BreactRate,Cchem0,Cchem1,Cchem2,Cchem3,Cchem4,Cchem5,Cchem6,Cchem7,CreactRate,Dchem0,Dchem1,Dchem2,Dchem3,Dchem4,Dchem5,Dchem6,Dchem7,DreactRate,B1thres,B1chance,C1thres,C1chance,C2thres,C2chance,C3thres,C3chance,D1thres,D1chance,D2thres,D2chance,zeros
84,0,0,0,0,0,3,17,0,47,21,0,0,0,0,0,0,3,49,8,12,18,0,0,0,0,0,66,20,19,0,0,0,0,0,0,64,100,50,100,50,100,50,100,50,100,50,100,50,0
85,0,0,0,0,0,3,17,0,45,21,0,0,0,0,0,0,3,51,8,11,17,0,0,0,0,0,64,20,18,0,0,0,0,0,0,65,100,50,100,50,100,50,100,50,100,50,100,50,0
86,0,0,0,0,0,3,17,0,47,21,0,0,0,0,0,0,4,50,9,12,18,0,0,0,0,0,64,19,18,0,0,0,0,0,0,64,100,50,100,50,100,50,100,50,100,50,100,50,0
87,0,0,0,0,0,3,18,0,46,21,0,0,0,0,0,0,3,51,8,12,17,0,0,0,0,0,65,20,18,0,0,0,0,0,0,63,100,50,100,50,100,50,100,50,100,50,100,50,0
88,0,0,0,0,0,3,17,0,47,21,0,0,0,0,0,0,4,50,8,11,17,0,0,0,0,0,64,20,18,0,0,0,0,0,0,65,100,50,100,50,100,50,100,50,100,50,100,50,0
89,0,0,0,0,0,3,18,0,46,21,0,0,0,0,0,0,3,51,8,12,17,0,0,0,0,0,62,19,18,0,0,0,0,0,0,64,100,50,100,50,100,50,100,50,100,50,100,50,0
90,0,0,0,0,0,3,17,0,47,21,0,0,0,0,0,0,4,50,8,11,17,0,0,0,0,0,64,20,18,0,0,0,0,0,0,63,100,50,100,50,100,50,100,50,100,50,100,50,0
91,0,0,0,0,0,3,18,0,46,21,0,0,0,0,0,0,4,52,7,11,16,0,0,0,0,0,62,19,18,0,0,0,0,0,0,64,100,50,100,50,100,50,100,50,100,50,100,50,0
92,0,0,0,0,0,3,18,0,48,22,0,0,0,0,0,0,4,51,8,11,17,0,0,0,0,0,61,19,17,0,0,0,0,0,0,63,100,50,100,50,100,50,100,50,100,50,100,50,0
93,0,0,0,0,0,3,18,0,46,21,0,0,0,0,0,0,4,52,7,11,16,0,0,0,0,0,62,19,18,0,0,0,0,0,0,62,100,50,100,50,100,50,100,50,100,50,100,50,0
94,0,0,0,0,0,4,19,0,48,22,0,0,0,0,0,0,5,52,8,11,17,0,0,0,0,0,61,19,17,0,0,0,0,0,0,63,100,50,100,50,100,50,100,50,100,50,100,50,0
95,0,0,0,0,0,3,19,0,49,21,0,0,0,0,0,0,4,52,7,11,16,0,0,0,0,0,62,19,18,0,0,0,0,0,0,62,100,50,100,50,100,50,100,50,100,50,100,50,0
96,0,0,0,0,0,4,19,0,48,22,0,0,0,0,0,0,5,52,7,10,16,0,0,0,0,0,61,19,17,0,0,0,0,0,0,63,100,50,100,50,100,50,100,50,100,50,100,50,0
97,0,0,0,0,0,3,19,0,49,21,0,0,0,0,0,0,5,53,7,11,16,0,0,0,0,0,59,18,17,0,0,0,0,0,0,62,100,50,100,50,100,50,100,50,100,50,100,50,0
98,0,0,0,0,0,4,20,0,49,22,0,0,0,0,0,0,5,52,7,10,16,0,0,0,0,0,61,19,17,0,0,0,0,0,0,61,100,50,100,50,100,50,100,50,100,50,100,50,0
99,0,0,0,0,0,3,19,0,49,21,0,0,0,0,0,0,5,53,7,11,16,0,0,0,0,0,59,18,17,0,0,0,0,0,0,62,100,50,100,50,100,50,100,50,100,50,100,50,0
100,0,0,0,0,0,4,20,0,49,22,0,0,0,0,0,0,5,52,7,10,16,0,0,0,0,0,61,19,17,0,0,0,0,0,0,61,100,50,100,50,100,50,100,50,100,50,100,50,0
101,0,0,0,0,0,3,19,0,49,21,0,0,0,0,0,0,5,53,6,10,15,0,0,0,0,0,59,18,17,0,0,0,0,0,0,62,100,50,100,50,100,50,100,50,100,50,100,50,0
102,0,0,0,0,0,4,20,0,49,22,0,0,0,0,0,0,6,53,7,10,16,0,0,0,0,0,58,18,16,0,0,0,0,0,0,61,100,50,100,50,100,50,100,50,100,50,100,50,0
103,0,0,0,0,0,3,20,0,50,21,0,0,0,0,0,0,5,53,6,10,15,0,0,0,0,0,59,18,17,0,0,0,0,0,0,60,100,50,100,50,100,50,100,50,100,50,100,50,0
104,0,0,0,0,0,4,20,0,49,22,0,0,0,0,0,0,6,53,7,10,16,0,0,0,0,0,58,18,16,0,0,0,0,0,0,61,100,50,100,50,100,50,100,50,100,50,100,50,0
105,0,0,0,0,0,3,20,0,50,21,0,0,0,0,0,0,6,54,6,10,15,0,0,0,0,0,59,18,17,0,0,0,0,0,0,60,100,50,100,50,100,50,100,50,100,50,100,50,0
106,0,0,0,0,0,4,20,0,49,22,0,0,0,0,0,0,6,53,7,10,16,0,0,0,0,0,58,18,16,0,0,0,0,0,0,61,100,50,100,50,100,50,100,50,100,50,100,50,0
107,0,0,0,0,0,3,20,0,50,21,0,0,0,0,0,0,6,54,6,10,15,0,0,0,0,0,59,17,16,0,0,0,0,0,0,60,100,50,100,50,100,50,100,50,100,50,100,50,0
108,0,0,0,0,0,4,21,0,50,22,0,0,0,0,0,0,7,54,6,9,15,0,0,0,0,0,58,18,16,0,0,0,0,0,0,59,100,50,100,50,100,50,100,50,100,50,100,50,0
109,0,0,0,0,0,3,20,0,50,21,0,0,0,0,0,0,6,54,6,10,15,0,0,0,0,0,56,17,16,0,0,0,0,0,0,60,100,50,100,50,100,50,100,50,100,50,100,50,0
110,0,0,0,0,0,4,21,0,50,21,0,0,0,0,0,0,6,54,6,9,15,0,0,0,0,0,58,18,16,0,0,0,0,0,0,59,100,50,100,50,100,50,100,50,100,50,100,50,0
111,0,0,0,0,0,3,20,0,50,21,0,0,0,0,0,0,6,52,6,10,15,0,0,0,0,0,56,17,16,0,0,0,0,0,0,60,100,50,100,50,100,50,100,50,100,50,100,50,0
112,0,0,0,0,0,4,21,0,50,21,0,0,0,0,0,0,6,54,6,9,15,0,0,0,0,0,58,17,15,0,0,0,0,0,0,59,100,50,100,50,100,50,100,50,100,50,100,50,0
113,0,0,0,0,0,3,20,0,50,21,0,0,0,0,0,0,7,53,6,9,15,0,0,0,0,0,55,17,16,0,0,0,0,0,0,58,100,50,100,50,100,50,100,50,100,50,100,50,0
